a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,
0.049135,0.970794,1.505478,2.859890,3.527940,3.944823,4.875942,5.740226,6.580401,7.066561,7.554247,8.052614,8.698080,8.928800,9.009369,9.424421,9.436628,9.696341,9.826655,9.504990,9.569079,9.348735,9.364299,8.866848,8.528092,7.984252,7.358013,6.994537,6.335032,5.806452,4.619587,4.121220,3.505966,2.506180,1.875057,0.787683,-0.067446,-0.936308,-1.510666,-2.305368,-3.564867,-4.303415,-5.080721,-5.475021,-6.016724,-6.826685,-7.744682,-7.895444,-8.709983,-8.782311,-9.109165,-9.416791,-9.826044,-9.370098,-9.922788,-9.596850,-9.811090,-9.549852,-8.997467,-8.865932,-8.479873,-7.818232,-7.444685,-6.859035,-6.355174,-5.406354,-4.997406,-4.045534,-3.255715,-2.269967,-1.663259,-1.082186,-0.035401,0.831324,1.521348,2.765587,3.514512,4.389172,4.988250,5.703604,
0.075686,1.052278,1.892453,2.849208,3.359478,4.077883,4.674825,5.860775,6.478469,6.878567,7.238380,8.204901,8.590350,8.541826,9.087497,9.647511,9.304178,9.466842,9.525742,9.426557,9.594714,9.122593,9.161962,8.810389,8.480178,8.045595,7.636036,6.912748,6.062197,5.693533,4.718467,4.336680,3.417768,2.268136,1.420331,0.711386,-0.258492,-0.863674,-1.933042,-2.299265,-3.566393,-4.231086,-5.025483,-5.845820,-6.467177,-7.178259,-7.310709,-7.827082,-8.205206,-9.117710,-9.168676,-9.430219,-9.382916,-9.691458,-9.702445,-9.507126,-9.697256,-9.316385,-9.335612,-8.509476,-8.130131,-7.692801,-7.651296,-6.816614,-6.104312,-5.359966,-4.638203,-4.185003,-3.008820,-2.270577,-1.798761,-0.747093,-0.202338,0.925321,1.924192,2.697531,3.094577,4.298837,4.939421,5.866573,
0.298166,1.096225,1.639454,2.517777,3.375042,3.896908,5.003815,5.323649,6.451613,7.063509,7.308878,7.779473,8.171026,8.923307,8.858913,9.294717,9.683218,9.847407,9.660634,9.945067,9.620045,9.227271,9.074984,8.984344,8.110599,7.663808,7.168798,6.592303,6.429334,5.388348,4.710532,4.220710,2.976470,2.627949,1.456038,1.011078,-0.219428,-1.056856,-1.931516,-2.743614,-3.178503,-3.940855,-4.680319,-5.416425,-6.225166,-7.185583,-7.673269,-8.176824,-8.523209,-8.851894,-9.328593,-9.150975,-9.490951,-9.641102,-9.452193,-9.642628,-9.400616,-9.050874,-8.807642,-8.539384,-8.159124,-8.115482,-7.458419,-6.936247,-6.376232,-5.219275,-4.641560,-3.903012,-3.530381,-2.352672,-1.424909,-0.631123,0.263985,0.692770,1.887265,2.505875,3.475753,4.414502,5.146641,5.342265,
0.243233,0.893582,1.466720,2.424085,3.342692,3.964660,5.169530,5.628834,6.140629,7.066866,7.724845,7.818232,8.158818,8.986175,8.978240,9.422895,9.749138,9.880367,9.597766,9.678640,9.832759,9.569994,9.174780,8.593707,8.547624,7.822199,7.299112,6.523026,6.210517,5.436872,4.553056,3.921934,3.482162,2.254402,1.870174,0.541398,0.130314,-0.688192,-1.795099,-2.753990,-3.310953,-4.134953,-4.843898,-5.674001,-6.585589,-6.696066,-7.697378,-8.130131,-8.564714,-8.714866,-9.104892,-9.114048,-9.501328,-9.496445,-9.745476,-9.464705,-9.394208,-9.567248,-9.077120,-9.045381,-8.655965,-7.750786,-7.478866,-6.561174,-6.196783,-5.337687,-5.051119,-3.948790,-3.528550,-2.324595,-1.324808,-0.766320,0.202948,0.783715,1.955626,2.674947,3.449812,4.029054,5.124363,5.604114,
0.234077,0.841090,1.476791,2.578509,3.473006,4.118473,4.853359,5.349590,6.172979,6.976531,7.715079,7.952818,8.701437,8.755760,9.163182,9.096347,9.851070,9.888607,9.661245,9.774773,9.436323,9.408246,9.083834,8.790246,8.080081,7.822810,7.214881,7.060152,6.384777,5.771355,4.841151,4.071780,2.982879,2.371899,1.483200,0.759301,-0.337535,-0.705588,-1.885739,-2.424085,-3.137913,-4.123661,-5.093844,-5.765557,-6.263619,-6.693930,-7.635121,-8.113041,-8.306528,-8.606525,-9.305094,-9.576403,-9.598682,-9.435713,-9.654530,-9.938047,-9.239784,-9.611499,-9.013337,-8.900418,-8.555254,-8.126469,-7.536546,-6.801050,-5.893429,-5.763726,-5.028230,-4.119083,-3.369549,-2.418592,-1.605884,-0.813013,0.339976,0.990936,1.643422,2.578204,3.338115,4.447157,4.952239,5.833918,
0.267953,1.117283,1.829890,2.820521,3.293863,4.445326,4.789270,5.903806,6.435743,6.699118,7.653737,7.980895,8.250984,8.544572,8.870205,9.364910,9.784845,9.451582,9.407331,9.482101,9.726554,9.523301,9.250465,8.846706,8.232978,8.061159,7.623829,6.998505,6.010010,5.487228,4.484085,3.761406,2.949919,2.335582,1.723380,0.700095,-0.283212,-1.057772,-1.965087,-2.451857,-3.622547,-4.447157,-4.913480,-5.722831,-6.120792,-7.127598,-7.249062,-8.218329,-8.728294,-9.020051,-8.954741,-9.542833,-9.525132,-9.762261,-9.674978,-9.555651,-9.313334,-9.085971,-8.815577,-8.988922,-8.561968,-7.857906,-7.191076,-6.556597,-6.421400,-5.265053,-4.577166,-4.083377,-3.202307,-2.319102,-1.623890,-0.885647,0.361034,1.225623,1.910764,2.655416,3.266396,3.960997,4.747154,5.698111,
0.089724,0.855434,1.618091,2.591327,3.523667,4.456008,5.036470,5.932188,6.151616,6.935026,7.334208,8.239387,8.438978,8.727073,9.169897,9.436018,9.470199,9.579455,9.500107,9.527879,9.365825,9.597156,9.224219,8.933073,8.440809,8.000732,7.229225,6.949065,5.898618,5.616016,4.980621,3.915220,2.952055,2.406384,1.300394,0.950957,-0.026551,-0.918302,-1.717887,-2.563555,-3.242592,-4.103519,-4.816126,-5.487228,-6.088443,-7.132481,-7.538987,-7.828913,-8.735923,-8.868374,-9.422285,-9.389935,-9.707022,-9.929807,-9.851985,-9.364910,-9.530931,-9.274270,-9.338054,-8.828700,-8.077639,-7.672964,-7.464827,-6.944182,-6.286508,-5.752739,-4.469741,-4.207282,-3.484603,-2.584307,-1.707816,-0.576189,0.187078,0.692465,1.637623,2.386242,3.239235,4.224677,4.740745,5.722221,
-0.132450,0.920743,1.941282,2.510453,3.148900,4.062319,5.055696,5.871761,6.354259,7.152318,7.245399,8.181097,8.751183,8.914762,9.220557,9.451888,9.625233,9.487594,9.985961,9.492172,9.258705,9.185156,8.931242,8.690451,8.524430,7.748650,7.603381,6.712241,6.291696,5.301981,4.491409,4.067507,3.132115,2.326731,1.682791,1.027558,-0.269478,-0.711386,-1.878109,-2.338328,-3.315531,-4.372082,-5.070040,-5.734733,-6.294748,-7.056795,-7.665029,-8.244575,-8.687704,-8.708457,-8.943449,-9.292276,-9.378033,-9.967956,-9.703970,-9.590747,-9.272439,-9.467757,-9.015168,-8.598590,-8.123417,-7.638173,-7.165441,-6.721397,-6.272469,-5.307779,-4.969939,-3.979614,-3.106479,-2.473525,-1.286355,-0.981170,0.050356,0.664998,1.898556,2.465590,3.215735,4.029969,4.752342,5.865047,
0.267647,0.683004,1.781976,2.349925,3.696707,3.949095,4.983673,5.930052,6.362804,7.162694,7.445601,7.949461,8.402356,8.931242,9.345378,9.663686,9.439985,9.372845,9.768365,9.382305,9.625843,9.293191,9.348735,8.806116,8.164922,7.830134,7.263710,6.854152,6.335337,5.175939,4.517655,3.935972,3.080233,2.294076,1.770684,0.947905,-0.222785,-1.136204,-1.753594,-2.634968,-3.123264,-4.238411,-5.023652,-5.701773,-6.387829,-6.887417,-7.274087,-8.105411,-8.518632,-8.565935,-9.146092,-9.445784,-9.505600,-9.505905,-9.948729,-9.862362,-9.707633,-9.588000,-9.186071,-8.760949,-8.267464,-7.982421,-7.611927,-6.711936,-6.364940,-5.604724,-4.559771,-4.036073,-2.917570,-2.571795,-1.811884,-0.724815,-0.031739,0.658895,1.837825,2.778405,3.184606,4.479812,4.865871,5.894955,
0.128788,0.794092,1.679739,2.609027,3.312174,4.152348,5.108493,5.862606,6.256600,6.896268,7.638783,8.151799,8.212226,8.587909,9.305094,9.606311,9.653920,9.588000,9.683523,9.408551,9.480270,9.151280,8.979766,8.988922,8.178961,7.764214,7.148045,6.680807,5.955077,5.331278,4.572588,3.797113,3.109226,2.137516,1.571093,1.008026,0.069582,-0.993072,-1.550645,-2.814722,-3.436995,-4.220710,-4.830470,-5.808588,-6.061281,-7.073580,-7.624744,-7.817621,-8.265633,-8.761254,-8.976409,-9.694205,-9.714957,-9.798883,-9.426862,-9.436628,-9.520859,-9.214148,-9.220557,-8.488723,-8.347118,-8.122196,-7.159948,-7.030244,-6.276437,-5.537889,-4.663533,-3.985107,-3.249611,-2.614216,-1.285440,-0.985443,-0.181280,1.209449,1.745048,2.775048,3.238319,3.964660,4.903409,5.764336,
0.138249,1.161229,2.006287,2.490616,3.431196,4.431288,4.744102,5.945006,6.350597,6.776330,7.248146,7.837153,8.278756,8.657186,8.974883,9.673757,9.628285,9.815973,9.574877,9.759209,9.701529,9.589526,9.328898,8.944975,8.193609,7.637867,7.088534,7.013764,5.930052,5.698416,4.659261,4.262215,3.131504,2.291330,1.674551,0.956145,-0.194098,-1.006806,-1.699576,-2.767724,-3.442183,-4.192633,-4.774010,-5.486312,-6.180303,-6.952116,-7.311625,-7.979369,-8.593097,-8.933378,-9.423200,-9.153417,-9.414655,-9.751885,-9.829096,-9.824824,-9.635304,-9.606922,-8.843348,-8.889431,-8.396252,-8.088015,-7.126682,-6.707053,-5.970946,-5.645009,-4.773095,-3.831599,-3.242897,-2.310862,-1.381573,-0.919523,0.015259,1.244545,1.929685,2.446364,3.649098,3.937498,5.100864,5.384075,
-0.093692,0.722068,1.841487,2.674947,3.457137,4.045839,4.706259,5.550096,6.071047,6.895047,7.292093,7.868892,8.655660,8.849147,9.018525,9.694205,9.822993,9.446089,9.569079,9.774773,9.511399,9.211707,8.976714,8.750572,8.521989,7.881405,7.087924,6.964629,6.168706,5.219886,4.744102,4.250618,3.330485,2.370678,1.528672,0.968963,-0.098880,-1.053804,-1.579638,-2.538224,-3.664052,-4.210334,-5.193030,-5.800043,-6.304819,-6.773583,-7.590564,-7.803278,-8.316904,-8.865932,-9.241615,-9.436323,-9.521775,-9.746086,-9.619434,-9.616382,-9.539476,-9.133274,-9.258705,-9.030122,-8.569903,-8.146916,-7.514878,-6.913968,-6.190374,-5.333720,-4.773095,-4.203009,-3.170568,-2.172613,-1.374248,-0.887173,0.382092,0.860622,1.595813,2.697836,3.143406,4.488052,4.982452,5.599536,
-0.158696,0.820948,2.047487,2.695090,3.234352,3.929868,4.986419,5.922422,6.428724,6.787011,7.459029,8.300729,8.224433,8.786279,9.162877,9.304178,9.471114,9.748833,9.548631,9.523911,9.547716,9.572436,9.054537,8.629719,8.436842,7.843562,7.393109,6.710410,6.384777,5.225379,4.831996,3.766289,3.039338,2.147588,1.313211,0.825220,0.061647,-0.984527,-1.843928,-2.547685,-3.492233,-4.136479,-5.206153,-5.474410,-6.416211,-6.725974,-7.503891,-7.744072,-8.529618,-8.711203,-9.081088,-9.478744,-9.386273,-9.462569,-9.960021,-9.504074,-9.610584,-9.492172,-8.876614,-8.562883,-8.468276,-7.829829,-7.538987,-6.988433,-5.977355,-5.504929,-4.865566,-4.174932,-3.164769,-2.536088,-1.661122,-0.876797,0.228889,1.097751,1.918088,2.725608,3.176672,4.117862,5.236671,5.564745,
0.024720,0.782495,1.743217,2.511368,3.725394,4.067202,4.827113,5.752129,6.495254,7.006439,7.382122,8.152104,8.371838,8.977325,8.874172,9.524827,9.653615,9.449751,9.830012,9.577929,9.541002,9.550157,9.120762,8.727378,8.047731,7.966857,7.371746,6.668294,6.170232,5.606250,4.441359,3.671987,3.213294,2.523576,1.415143,0.881985,0.060732,-0.850856,-1.944334,-2.622456,-3.505661,-4.464858,-5.037385,-5.919675,-6.241035,-7.159948,-7.405316,-7.922605,-8.326060,-8.616291,-9.007538,-9.363079,-9.716483,-9.907529,-9.838252,-9.509568,-9.240394,-9.338969,-9.237037,-8.549760,-8.261666,-7.954955,-7.350383,-6.459548,-6.202887,-5.179296,-4.895474,-3.893857,-3.140049,-2.587664,-1.288186,-0.731223,0.225532,0.713828,1.915342,2.790918,3.208716,4.315928,4.790490,5.518052,
0.285348,1.287576,1.980346,2.887356,3.483077,4.466079,5.197302,5.751823,6.478164,7.099521,7.314371,8.182012,8.263497,8.794214,9.231849,9.536119,9.774163,9.906003,9.436323,9.585559,9.587695,9.322794,9.034394,8.884548,8.373363,7.761773,7.385479,6.670431,6.271859,5.191504,4.479812,4.264351,2.905972,2.306894,1.304666,0.648518,-0.186163,-1.129185,-1.856441,-2.816553,-3.597827,-4.146245,-4.740440,-5.455184,-6.376843,-7.014069,-7.684256,-7.749870,-8.328501,-8.946806,-9.029817,-9.344157,-9.503464,-9.438154,-9.588916,-9.807733,-9.760430,-9.311197,-8.934294,-8.687094,-8.617206,-7.853938,-7.360759,-6.471755,-5.888241,-5.321512,-4.875027,-4.204230,-3.319803,-2.389294,-1.476180,-0.970183,0.077822,0.760826,2.126835,2.795190,3.178808,3.933531,5.084078,5.955992,
0.276193,1.147496,1.618702,2.764061,3.527635,4.334239,5.266884,5.429853,6.595050,7.181921,7.604297,8.265023,8.519852,8.645283,9.404279,9.451888,9.434797,9.479965,9.773247,9.848628,9.626453,9.543443,9.030427,9.014557,8.419141,7.981811,7.066256,6.939299,6.265145,5.722221,4.918363,3.848994,2.944121,2.186346,1.409040,0.961943,0.053102,-1.147191,-2.004761,-2.437819,-3.501999,-4.413282,-4.724265,-5.535447,-6.417127,-7.040620,-7.492599,-7.953429,-8.210700,-8.712424,-9.023713,-9.474471,-9.547105,-9.386883,-9.621570,-9.751579,-9.566637,-9.251991,-8.944060,-8.731040,-8.222297,-7.995849,-7.568896,-7.011017,-6.333506,-5.465560,-4.909207,-3.872799,-2.959990,-2.503433,-1.343730,-0.618610,0.402234,0.758385,1.686453,2.655416,3.580737,4.358959,4.746849,5.610523,
0.147404,1.279641,1.599170,2.635578,3.221839,4.254280,4.882046,5.866573,6.549883,7.112033,7.569201,7.766045,8.290353,9.150975,9.123508,9.495224,9.710990,9.915769,9.903562,9.896542,9.512925,9.314249,9.195532,8.876919,8.250374,7.999817,7.191687,6.663106,5.831172,5.626087,4.866482,3.915830,3.002411,2.106388,1.387371,0.762658,0.001831,-1.107517,-1.987365,-2.672201,-3.314920,-4.205145,-5.077975,-5.574816,-6.075320,-7.028718,-7.667776,-7.802057,-8.422803,-8.792993,-9.259011,-9.228492,-9.380474,-9.486373,-9.744255,-9.898984,-9.443953,-9.037141,-8.946196,-8.723106,-8.509781,-7.813044,-7.484664,-6.528520,-6.239204,-5.139317,-4.520096,-4.013794,-3.275246,-2.417982,-1.433760,-0.429090,0.400708,0.869472,1.998047,2.678304,3.737297,4.492325,5.071871,5.421003,
0.022584,0.882290,2.021546,2.523576,3.343608,4.158757,5.240333,5.888241,6.205939,6.866970,7.372662,8.315073,8.328196,9.119236,9.360027,9.172643,9.625233,9.512009,9.623402,9.461653,9.694205,9.562670,8.942534,8.452101,8.467971,7.981201,7.358623,6.769616,6.028626,5.193335,4.447768,4.113285,2.878506,2.243110,1.406903,0.468154,-0.149236,-1.113010,-1.701712,-2.609943,-3.424177,-3.992126,-4.895779,-5.571459,-6.311228,-7.231056,-7.658315,-8.330027,-8.317820,-8.561052,-9.121677,-9.527573,-9.594104,-9.895016,-9.688711,-9.834590,-9.492782,-9.398785,-9.050874,-8.613544,-8.183233,-7.725150,-7.254250,-6.967376,-5.833613,-5.289468,-4.972686,-4.112980,-3.163244,-2.571184,-1.237831,-0.707419,0.335093,1.076388,2.010865,2.736290,3.675039,4.120609,5.290384,5.911740,
0.073244,0.809351,1.616565,2.952361,3.764458,4.303720,4.765160,5.443281,6.263009,6.917020,7.497177,8.182623,8.666341,8.919645,9.397870,9.450056,9.824213,9.499496,9.535203,9.453413,9.484542,9.215369,8.884854,8.917814,8.483840,8.059633,7.258217,6.702475,6.371960,5.151219,4.874111,3.824274,3.168126,2.177801,1.617176,0.549028,-0.367443,-0.791955,-1.868954,-2.469253,-3.230384,-4.202094,-5.201575,-5.734733,-6.255379,-6.787622,-7.249672,-7.762993,-8.475295,-9.109165,-9.440901,-9.366131,-9.362774,-9.620655,-9.635914,-9.598071,-9.651479,-9.150060,-9.122898,-8.488113,-8.542131,-7.565538,-7.585070,-6.786096,-6.196783,-5.507981,-5.000153,-4.054079,-3.329569,-2.176275,-1.521653,-0.938749,0.403760,0.953703,1.893063,2.641682,3.601184,4.293954,5.047761,5.765862,
-0.006104,0.946379,2.023682,2.923978,3.521531,4.445631,5.181433,5.975829,6.530961,6.800439,7.620472,8.053835,8.692587,9.059114,9.310587,9.527573,9.652089,9.614246,9.924619,9.934996,9.539476,9.173254,9.112827,8.822596,8.394726,8.112735,7.352519,6.595050,6.104312,5.239113,4.921110,3.740349,2.939848,2.472610,1.624805,0.703146,-0.103458,-0.723594,-1.558275,-2.621845,-3.474837,-4.243599,-5.274819,-5.507675,-6.133610,-6.951811,-7.688528,-8.342540,-8.226875,-8.673971,-9.413434,-9.634999,-9.368572,-9.747612,-9.540696,-9.906613,-9.624317,-9.611805,-9.308145,-8.792688,-8.606830,-8.004700,-7.270730,-6.584674,-6.185492,-5.454268,-4.927213,-3.742485,-3.213904,-2.447584,-1.249428,-0.610981,0.215155,1.244850,1.908933,2.522355,3.375958,4.098941,5.077975,5.800348,
